Step-by-step static inverse action test results
====================================================================================================

Method: s1_hat = s2 - a1 (assumes linear state transition)
Format: step | ‖s1‖ | ‖error‖ | ‖Δpos‖ | ‖Δori‖ | ‖Δgrip‖
----------------------------------------------------------------------------------------------------
  0 | 3.371795 | 1.440415 | 0.227500 | 0.151670 | 1.414226
  1 | 3.367691 | 1.472840 | 0.374407 | 0.170619 | 1.414201
  2 | 3.362520 | 1.514351 | 0.502277 | 0.202510 | 1.414201
  3 | 3.357219 | 1.544372 | 0.584068 | 0.209706 | 1.414204
  4 | 3.351913 | 1.546905 | 0.594130 | 0.199847 | 1.414209
  5 | 3.346246 | 1.536259 | 0.564538 | 0.203479 | 1.414208
  6 | 3.340018 | 1.532826 | 0.556111 | 0.200757 | 1.414211
  7 | 3.332878 | 1.529353 | 0.547402 | 0.198177 | 1.414212
  8 | 3.324617 | 1.527710 | 0.541761 | 0.200990 | 1.414212
  9 | 3.315280 | 1.523669 | 0.528389 | 0.205861 | 1.414212
 10 | 3.304777 | 1.519452 | 0.513302 | 0.212748 | 1.414211
 11 | 3.292852 | 1.510955 | 0.479598 | 0.230171 | 1.414211
 12 | 3.279797 | 1.502966 | 0.446753 | 0.243567 | 1.414211
 13 | 3.265823 | 1.486915 | 0.368520 | 0.274080 | 1.414210
 14 | 3.250918 | 1.483551 | 0.343645 | 0.287827 | 1.414209
 15 | 3.235298 | 1.482617 | 0.339201 | 0.288289 | 1.414209
 16 | 3.219445 | 1.480248 | 0.328114 | 0.288942 | 1.414209
 17 | 3.203763 | 1.471900 | 0.266543 | 0.308963 | 1.414209
 18 | 3.188479 | 1.467479 | 0.218893 | 0.324958 | 1.414207
 19 | 3.173341 | 1.466737 | 0.210243 | 0.327313 | 1.414207
 20 | 3.158004 | 1.466905 | 0.210632 | 0.327817 | 1.414207
 21 | 3.142600 | 1.465761 | 0.202203 | 0.328007 | 1.414206
 22 | 3.127264 | 1.465500 | 0.196591 | 0.330245 | 1.414206
 23 | 3.112030 | 1.465255 | 0.195701 | 0.329687 | 1.414206
 24 | 3.097006 | 1.464637 | 0.185768 | 0.332678 | 1.414206
 25 | 3.082209 | 1.463923 | 0.178728 | 0.333390 | 1.414206
 26 | 3.067586 | 1.463855 | 0.177076 | 0.333974 | 1.414206
 27 | 3.053045 | 1.463040 | 0.172261 | 0.332918 | 1.414206
 28 | 3.038488 | 1.462514 | 0.166130 | 0.333720 | 1.414206
 29 | 3.023837 | 1.463222 | 0.162101 | 0.338765 | 1.414206
